work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
12.01,Parapet bez bocznego wkucia szerokość do 150cm,szt,construction,KLEJ_MONTAZOWY,Klej montażowy Tytan Professional Mocny Chwyt 290ml,l,0.15,budget,0,"Osadzenie parapetu do 150cm bez wkucia zuzywa ~0.15 l kleju montazowego na sztuke (ok. pol kartusza 0.29 l na dlugosc do 1.5 m); wartosc ekspercka wg praktyki montazu parapetow.","Посадка подоконника до 150см без вковки расходует ~0.15 л монтажного клея на штуку (ок. половины картриджа 0.29 л на длину до 1.5 м); экспертное значение по практике монтажа подоконников.",expert,Praktyka wykonawcza (montaz parapetu bez wkucia),,zalozenie eksperckie ~0.15 l/szt (ok. 0.5 kartusza 0.29 l)
12.01,Parapet bez bocznego wkucia szerokość do 150cm,szt,construction,ZAPRAWA_MONTAZOWA,Zaprawa montażowa szybkowiążąca 25kg,kg,1.50,budget,0,"Alternatywa budzetowa: osadzenie parapetu do 150cm na zaprawie montazowej ~1.5 kg/szt cienka warstwa podporowa; wartosc ekspercka wg praktyki.","Бюджетная альтернатива: посадка подоконника до 150см на монтажном растворе ~1.5 кг/шт тонким опорным слоем; экспертное значение по практике.",expert,Praktyka wykonawcza (osadzenie parapetu na zaprawie),,zalozenie eksperckie ~1.5 kg/szt zaprawy podporowej
12.01,Parapet bez bocznego wkucia szerokość do 150cm,szt,construction,PIANKA_MONTAZOWA,Pianka montażowa poliuretanowa Soudal 750ml,l,0.20,"norm,lux",0,"Osadzenie parapetu do 150cm na piance montazowej ~0.2 l/szt (podparcie i wyrownanie); wartosc ekspercka wg praktyki montazu parapetow, wariant norm/lux.","Посадка подоконника до 150см на монтажной пене ~0.2 л/шт (подпор и выравнивание); экспертное значение по практике монтажа подоконников, вариант norm/lux.",expert,Praktyka wykonawcza (montaz parapetu na piance),,zalozenie eksperckie ~0.2 l/szt pianki
12.01,Parapet bez bocznego wkucia szerokość do 150cm,szt,construction,SILIKON,Silikon neutralny Soudal 300ml,l,0.05,"budget,norm,lux",0,"Wykonczenie styku parapetu ze sciana silikonem neutralnym ~0.05 l/szt; karta Soudal Silikon neutralny potwierdza rzad wielkosci dla waskiej fugi obwodowej.","Отделка стыка подоконника со стеной нейтральным силиконом ~0.05 л/шт; карта Soudal Silikon нейтральный подтверждает порядок для узкого периметрального шва.",producer_tds,Soudal Silikon neutralny — Karta produktu,https://www.soudal.pl,"sekcja Zuzycie/Wydajnosc (fuga obwodowa parapetu), przeliczono z kartusza 0.3 l"
12.02,Parapet bez bocznego wkucia szerokość od 150 cm,mb,construction,KLEJ_MONTAZOWY,Klej montażowy Tytan Professional Mocny Chwyt 290ml,l,0.10,budget,0,"Osadzenie parapetu >150cm bez wkucia zuzywa ~0.10 l kleju montazowego na mb dlugosci; wartosc ekspercka wg praktyki montazu (rozklad kleju na dlugosc).","Посадка подоконника >150см без вковки расходует ~0.10 л монтажного клея на пм длины; экспертное значение по практике монтажа (раскладка клея по длине).",expert,Praktyka wykonawcza (montaz parapetu bez wkucia),,zalozenie eksperckie ~0.10 l/mb kleju montazowego
12.02,Parapet bez bocznego wkucia szerokość od 150 cm,mb,construction,ZAPRAWA_MONTAZOWA,Zaprawa montażowa szybkowiążąca 25kg,kg,1.00,budget,0,"Alternatywa budzetowa: osadzenie parapetu >150cm na zaprawie montazowej ~1.0 kg/mb podporowej; wartosc ekspercka wg praktyki.","Бюджетная альтернатива: посадка подоконника >150см на монтажном растворе ~1.0 кг/пм опорного слоя; экспертное значение по практике.",expert,Praktyka wykonawcza (osadzenie parapetu na zaprawie),,zalozenie eksperckie ~1.0 kg/mb zaprawy
12.02,Parapet bez bocznego wkucia szerokość od 150 cm,mb,construction,PIANKA_MONTAZOWA,Pianka montażowa poliuretanowa Soudal 750ml,l,0.13,"norm,lux",0,"Osadzenie parapetu >150cm na piance montazowej ~0.13 l/mb (podparcie i wyrownanie na dlugosc); wartosc ekspercka wg praktyki, wariant norm/lux.","Посадка подоконника >150см на монтажной пене ~0.13 л/пм (подпор и выравнивание по длине); экспертное значение по практике, вариант norm/lux.",expert,Praktyka wykonawcza (montaz parapetu na piance),,zalozenie eksperckie ~0.13 l/mb pianki
12.02,Parapet bez bocznego wkucia szerokość od 150 cm,mb,construction,SILIKON,Silikon neutralny Soudal 300ml,l,0.03,"budget,norm,lux",0,"Wykonczenie styku parapetu ze sciana silikonem neutralnym ~0.03 l/mb waskiej fugi obwodowej; karta Soudal potwierdza rzad wielkosci.","Отделка стыка подоконника со стеной нейтральным силиконом ~0.03 л/пм узкого периметрального шва; карта Soudal подтверждает порядок.",producer_tds,Soudal Silikon neutralny — Karta produktu,https://www.soudal.pl,"sekcja Zuzycie/Wydajnosc (fuga obwodowa), przeliczono z kartusza 0.3 l"
12.03,Listwy przysufitowe maskownice karnisza (blendy) z akrylowaniem i malowaniem,mb,construction,KLEJ_MONTAZOWY,Klej montażowy Tytan Professional Mocny Chwyt 290ml,l,0.03,budget,0,"Przyklejenie listwy przysufitowej (blendy) zuzywa ~0.03 l kleju montazowego na mb; anchor Excela 'Klej 30 ml' = 0.03 l/mb przeliczony z ml na l.","Приклейка потолочной планки (фальшкарниза) расходует ~0.03 л монтажного клея на пм; якорь Excel 'Klej 30 ml' = 0.03 л/пм, переведено из мл в л.",excel,Excel Matrix v3.0 Oferta,,"wiersz 12.03 arkusza Oferta, kolumna 'Klej, ml' = 30 ml/mb"
12.03,Listwy przysufitowe maskownice karnisza (blendy) z akrylowaniem i malowaniem,mb,construction,KLEJ_MONTAZOWY,Klej montażowy Soudal 300ml,l,0.03,"norm,lux",0,"Wariant norm/lux; przyklejenie listwy przysufitowej klejem Soudal ~0.03 l/mb wg anchoru Excela 30 ml/mb przeliczonego na l.","Вариант norm/lux; приклейка потолочной планки клеем Soudal ~0.03 л/пм по якорю Excel 30 мл/пм, переведено в л.",excel,Excel Matrix v3.0 Oferta,,"wiersz 12.03 arkusza Oferta, kolumna 'Klej, ml' = 30 ml/mb"
