name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Klej do płytek Ceresit CM 11 25kg,Клей для плитки Ceresit CM 11,KLEJ_DO_PLYTEK,Ceresit,PSB Mrówka,budget,kg,PLN,1.05,1.62,1.32,https://www.ceresit.com/products/tiling/product.html/ceresit-cm-11/SAP_0201SGC012M6.html,"karta produktu Ceresit CM 11 (klej C1T), worek 25 kg ~33 PLN netto => ~1.32 PLN/kg","Budżetowy klej cementowy klasy C1T do płytek ceramicznych o standardowej i małej nasiąkliwości, wariant budget dla podłóg i ścian.","Бюджетный цементный клей класса C1T для керамической плитки стандартного и малого водопоглощения, вариант budget для полов и стен."
Klej elastyczny Atlas Plus 25kg,Эластичный клей Atlas Plus,KLEJ_DO_PLYTEK,Atlas,Leroy Merlin,"norm,lux",kg,PLN,2.60,4.09,3.33,https://www.atlas.com.pl/en/product/atlas-plus/,"karta techniczna Atlas Plus (klej odkształcalny C2TE S1), worek 25 kg, cena netto orientacyjna","Odkształcalny klej cementowy C2TE S1 na technologii polimerowej do gresu i płytek wielkoformatowych na podłożach trudnych, wariant norm/lux.","Деформируемый цементный клей C2TE S1 на полимерной технологии для керамогранита и крупноформатной плитки на сложных основаниях, вариант norm/lux."
Klej wysokoelastyczny Mapei Adesilex P9 25kg,Высокоэластичный клей Mapei Adesilex P9,KLEJ_DO_PLYTEK,Mapei,OBI,lux,kg,PLN,2.90,4.55,3.70,https://www.mapei.com/pl/pl/produkty-i-rozwiazania/produkty/detal/adesilex-p9,"karta techniczna Mapei Adesilex P9 (klej C2TE), worek 25 kg, cena netto orientacyjna","Wysokiej jakości klej cementowy C2TE do gresu i płytek na wymagających podłożach, wariant lux o stabilnych parametrach, zużycie ~5 kg/m2 dla dużego formatu.","Высококачественный цементный клей C2TE для керамогранита и плитки на требовательных основаниях, вариант lux со стабильными параметрами, расход ~5 кг/м2 для крупного формата."
Hydroizolacja folia w płynie Atlas Woder E 5kg,Гидроизоляция жидкая мембрана Atlas Woder E,HYDROIZOLACJA,Atlas,Leroy Merlin,"budget,norm",kg,PLN,9.50,14.99,12.19,https://www.atlas.com.pl/en/product/atlas-woder-e/,"karta techniczna Atlas Woder E (folia w płynie), sekcja Zużycie ~1.4-1.5 kg/m2 (dwie warstwy), opak. 5 kg","Szybkoschnąca elastyczna folia w płynie na bazie dyspersji do uszczelniania podłóg i ścian w pomieszczeniach mokrych, zużycie ~1.5 kg/m2, wariant budget/norm.","Быстросохнущая эластичная жидкая мембрана на основе дисперсии для гидроизоляции полов и стен во влажных помещениях, расход ~1.5 кг/м2, вариант budget/norm."
Hydroizolacja Ceresit CL 51 folia w płynie 5kg,Гидроизоляция Ceresit CL 51 жидкая мембрана,HYDROIZOLACJA,Ceresit,OBI,lux,kg,PLN,11.20,17.49,14.22,https://www.ceresit.com/products/waterproofing/product.html/ceresit-cl-51/SAP_0201JAC0159R.html,"karta produktu Ceresit CL 51 (folia w płynie), sekcja zużycie ~1.5 kg/m2, opak. 5 kg","Gotowa elastyczna folia uszczelniająca w płynie Ceresit CL 51 pod płytki w łazienkach i kuchniach, wariant lux, zużycie ~1.5 kg/m2.","Готовая эластичная жидкая гидроизоляционная мембрана Ceresit CL 51 под плитку в ванных и кухнях, вариант lux, расход ~1.5 кг/м2."
Taśma uszczelniająca narożna Atlas Hydroband 3G,Уплотнительная угловая лента Atlas Hydroband 3G,TASMA_USZCZELNIAJACA,Atlas,Castorama,"budget,norm,lux",szt,PLN,3.10,4.89,3.98,https://www.atlas.com.pl/en/product/atlas-hydroband-3g/,"karta produktu Atlas Hydroband 3G (taśma uszczelniająca), cena netto za 1 mb/odcinek","Elastyczna taśma uszczelniająca do wzmacniania narożników i połączeń w systemie hydroizolacji podpłytkowej, liczona na sztuki/odcinki.","Эластичная уплотнительная лента для усиления углов и стыков в системе подплиточной гидроизоляции, считается на штуки/отрезки."
Grunt głęboko penetrujący Ceresit CT 17 5l,Грунт глубокого проникновения Ceresit CT 17,GRUNT_UNIWERSALNY,Ceresit,PSB Mrówka,budget,l,PLN,5.20,7.99,6.50,https://www.ceresit.com/products/interoir-finishing/product.html/ceresit-ct-17/SAP_0201JAC014F1.html,"karta produktu Ceresit CT 17, sekcja zużycie ~0.1-0.2 l/m2, opak. 5 L, cena netto orientacyjna","Bezrozpuszczalnikowy grunt głęboko penetrujący pod płytki, anchor Excela dla kategorii (0.15 l), wariant budget.","Грунт глубокого проникновения без растворителя под плитку, якорь Excel для категории (0.15 л), вариант budget."
Grunt Atlas Uni-Grunt 5l,Грунт Atlas Uni-Grunt,GRUNT_UNIWERSALNY,Atlas,Leroy Merlin,"norm,lux",l,PLN,6.40,9.99,8.12,https://www.atlas.com.pl/en/product/atlas-uni-grunt/,"karta techniczna Atlas Uni-Grunt, sekcja Zużycie 0.05-0.2 l/m2 na warstwę, opak. 5 L","Emulsja gruntująca na bazie dyspersji żywic polimerowych pod płytki, wariant norm/lux, głęboko penetruje chłonne podłoża.","Грунтующая эмульсия на основе дисперсии полимерных смол под плитку, вариант norm/lux, глубоко проникает в впитывающие основания."
Fuga cementowa Ceresit CE 40 Aquastatic 2kg,Цементная затирка Ceresit CE 40 Aquastatic,FUGA_CEMENTOWA,Ceresit,Leroy Merlin,"budget,norm",kg,PLN,7.80,12.29,9.99,https://www.ceresit.com/products/tiling/product.html/ceresit-ce-40/SAP_0201SGC013M9.html,"karta produktu Ceresit CE 40 Aquastatic (fuga elastyczna 1-8 mm), sekcja zużycie, opak. 2 kg","Elastyczna wodoodporna fuga cementowa do spoin 1-8 mm z technologią hydrofobową, wariant budget/norm dla większości płytek.","Эластичная водостойкая цементная затирка для швов 1-8 мм с гидрофобной технологией, вариант budget/norm для большинства плиток."
Fuga cementowa Atlas Fuga Wąska 2kg,Цементная затирка Atlas Fuga узкая,FUGA_CEMENTOWA,Atlas,Castorama,budget,kg,PLN,5.90,9.29,7.55,https://www.atlas.com.pl/en/product/atlas-narrow-joint/,"karta produktu Atlas Fuga wąska (spoiny 1-7 mm), sekcja zużycie, opak. 2 kg","Cementowa fuga wąska Atlas do spoin 1-7 mm, budżetowy standard do płytek małego i średniego formatu.","Цементная узкая затирка Atlas для швов 1-7 мм, бюджетный стандарт для плитки малого и среднего формата."
Fuga epoksydowa Mapei Kerapoxy 3kg,Эпоксидная затирка Mapei Kerapoxy,FUGA_EPOKSYDOWA,Mapei,OBI,lux,kg,PLN,42.00,64.99,52.84,https://www.mapei.com/pl/pl/produkty-i-rozwiazania/produkty/detal/kerapoxy,"karta techniczna Mapei Kerapoxy (fuga epoksydowa 2-składnikowa), sekcja zużycie ~1.6 kg/m2 na mm, opak. 3 kg","Dwuskładnikowa fuga epoksydowa o wysokiej odporności chemicznej i wodoszczelności do spoin 3 mm+, wariant lux, zużycie ~1.6 kg/m2/mm.","Двухкомпонентная эпоксидная затирка высокой химической стойкости и водонепроницаемости для швов от 3 мм, вариант lux, расход ~1.6 кг/м2/мм."
Fuga epoksydowa Ceresit CE 79 UltraEpoxy 2.5kg,Эпоксидная затирка Ceresit CE 79 UltraEpoxy,FUGA_EPOKSYDOWA,Ceresit,Leroy Merlin,"norm,lux",kg,PLN,40.00,61.99,50.40,https://www.ceresit.com/products/tiling/product.html/ceresit-ce-79/SAP_0201SGC0142C6.html,"karta produktu Ceresit CE 79 UltraEpoxy (fuga/klej epoksydowy 2K), sekcja zużycie, opak. 2.5 kg","Dwuskładnikowa fuga epoksydowa Ceresit do spoin i połączeń narożnych w pomieszczeniach mokrych i o wysokich wymaganiach higienicznych, wariant norm/lux.","Двухкомпонентная эпоксидная затирка Ceresit для швов и угловых соединений во влажных и гигиенически требовательных помещениях, вариант norm/lux."
Silikon sanitarny Soudal 280ml,Санитарный силикон Soudal,SILIKON,Soudal,Castorama,"budget,norm",szt,PLN,10.50,16.49,13.41,https://www.soudal.com/pl-pl/diy/produkty/silikony/silikon-sanitarny,"karta produktu Soudal Silikon Sanitarny (kartusz 280 ml), wydajność ~5-6 mb spoiny na kartusz","Elastyczny octanowy silikon sanitarny z ochroną przeciwgrzybiczną do fug narożnych i dylatacyjnych, kartusz 280 ml na ~5 mb, wariant budget/norm.","Эластичный ацетатный санитарный силикон с противогрибковой защитой для угловых и деформационных швов, картридж 280 мл на ~5 пм, вариант budget/norm."
Silikon Ceresit CS 25 dopasowany do fugi 280ml,Силикон Ceresit CS 25 в тон затирке,SILIKON,Ceresit,Leroy Merlin,lux,szt,PLN,12.90,19.99,16.25,https://www.ceresit.com/products/tiling/product.html/ceresit-cs-25/SAP_0201SGC0139J8.html,"karta produktu Ceresit CS 25 (silikon sanitarny), kartusz 280 ml, wydajność ~5 mb na kartusz","Silikon sanitarny Ceresit CS 25 w kolorach dopasowanych do fug CE, wariant lux dla estetycznego wykończenia narożników, ~5 mb/kartusz.","Санитарный силикон Ceresit CS 25 в цветах, подобранных к затиркам CE, вариант lux для эстетичной отделки углов, ~5 пм/картридж."
Otwornica diamentowa Bosch Diamond for Hard Ceramics,Алмазная коронка Bosch Diamond for Hard Ceramics,NARZEDZIE_DIAMENTOWE,Bosch,OBI,"budget,norm,lux",szt,PLN,52.00,79.99,65.03,https://www.bosch-professional.com/pl/pl/products/diamond-cutter-diamond-for-hard-ceramics-0601190315,"karta produktu Bosch Diamond for Hard Ceramics (otwornica diamentowa do gresu), cena netto za sztukę","Otwornica diamentowa Bosch do wiercenia otworów śr. >15 mm w gresie i płytkach twardych, materiał zużywalny ekspercki, kilka otworów na sztukę.","Алмазная коронка Bosch для сверления отверстий диам. >15 мм в керамограните и твёрдой плитке, экспертный расходник, несколько отверстий на штуку."
Tarcza diamentowa Bosch EXPERT Hard Ceramic 85mm,Алмазный диск Bosch EXPERT Hard Ceramic 85мм,NARZEDZIE_DIAMENTOWE,Bosch,Leroy Merlin,"budget,norm,lux",szt,PLN,34.00,52.99,43.08,https://www.bosch-professional.com/pl/pl/products/expert-hardceramic-x-lock-2608900654,"karta produktu Bosch EXPERT Hard Ceramic (tarcza diamentowa do cięcia/szlifu gresu), cena netto za sztukę","Tarcza diamentowa Bosch EXPERT do cięcia i szlifowania krawędzi płytek twardych (45 st., docinki), materiał zużywalny ekspercki, kilka mb na tarczę.","Алмазный диск Bosch EXPERT для реза и шлифовки кромок твёрдой плитки (запил 45°, подрезка), экспертный расходник, несколько пм на диск."
