work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
2.01,Obniżenie wysokości otworów drzwiowych - dostosowanie do stolarki,kpl,construction,ZAPRAWA_MURARSKA,Zaprawa murarska cementowo-wapienna Atlas,kg,8.00,"budget,norm,lux",0,Obniżenie nadproża otworu zużywa ~8 kg zaprawy murarskiej na komplet do przemurowania i osadzenia; wartość ekspercka dla pojedynczego otworu.,Понижение перемычки проёма расходует ~8 кг кладочного раствора на комплект для перекладки и посадки; экспертное значение для одного проёма.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~8 kg/kpl; SKU zaprawy murarskiej Atlas"
2.01,Obniżenie wysokości otworów drzwiowych - dostosowanie do stolarki,kpl,construction,BELKA_NADPROZOWA,Nadproże / belka nadprożowa L19 (1.2m),szt,1.00,"budget,norm,lux",0,Dostosowanie otworu wymaga ~1 nadproża prefabrykowanego na komplet przy przemurowaniu górnej krawędzi; wartość ekspercka.,Подгонка проёма требует ~1 сборной перемычки на комплект при перекладке верхней кромки; экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~1 szt/kpl; SKU nadproża Solbet L19"
2.02,Zmniejszenie otworu (GK + wyrównanie) <3cm,kpl,construction,PLYTA_GK,Płyta gipsowo-kartonowa Norgips GKB 12.5mm,m2,0.30,budget,0,Zmniejszenie otworu <3cm okładziną GK zużywa ~0.3 m2 płyty na komplet (wąski pas przy krawędzi); wartość ekspercka.,Уменьшение проёма <3см обшивкой ГК расходует ~0.3 м2 листа на комплект (узкая полоса у кромки); экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~0.3 m2/kpl; SKU płyty GKB Norgips"
2.02,Zmniejszenie otworu (GK + wyrównanie) <3cm,kpl,construction,PLYTA_GK,Płyta gipsowo-kartonowa Rigips RB 12.5mm,m2,0.30,"norm,lux",0,Wariant norm/lux; zmniejszenie otworu <3cm zużywa ~0.3 m2 płyty Rigips RB na komplet; wartość ekspercka.,Вариант norm/lux; уменьшение проёма <3см расходует ~0.3 м2 листа Rigips RB на комплект; экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~0.3 m2/kpl; SKU płyty RB Rigips"
2.02,Zmniejszenie otworu (GK + wyrównanie) <3cm,kpl,construction,MASA_SPOINOWA,Masa szpachlowa do spoin Rigips Vario,kg,0.50,budget,0,Wyrównanie <3cm zużywa ~0.5 kg masy szpachlowej na komplet do wypełnienia i wygładzenia łączeń; wartość ekspercka.,Выравнивание <3см расходует ~0.5 кг шпаклёвки на комплект для заполнения и выглаживания стыков; экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~0.5 kg/kpl; SKU masy Vario Rigips"
2.02,Zmniejszenie otworu (GK + wyrównanie) <3cm,kpl,construction,MASA_SPOINOWA,Masa szpachlowa do spoin Rigips Uniflott,kg,0.50,"norm,lux",0,Wariant norm/lux; wyrównanie <3cm zużywa ~0.5 kg masy Uniflott na komplet; wartość ekspercka.,Вариант norm/lux; выравнивание <3см расходует ~0.5 кг массы Uniflott на комплект; экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~0.5 kg/kpl; SKU masy Uniflott Rigips"
2.03,Zmniejszenie otworu (GK + wyrównanie) >3cm,kpl,construction,PLYTA_GK,Płyta gipsowo-kartonowa Norgips GKB 12.5mm,m2,0.60,budget,0,Zmniejszenie otworu >3cm okładziną GK zużywa ~0.6 m2 płyty na komplet (szerszy pas obu stron); wartość ekspercka.,Уменьшение проёма >3см обшивкой ГК расходует ~0.6 м2 листа на комплект (более широкая полоса с обеих сторон); экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~0.6 m2/kpl; SKU płyty GKB Norgips"
2.03,Zmniejszenie otworu (GK + wyrównanie) >3cm,kpl,construction,PLYTA_GK,Płyta gipsowo-kartonowa Rigips RB 12.5mm,m2,0.60,"norm,lux",0,Wariant norm/lux; zmniejszenie otworu >3cm zużywa ~0.6 m2 płyty Rigips RB na komplet; wartość ekspercka.,Вариант norm/lux; уменьшение проёма >3см расходует ~0.6 м2 листа Rigips RB на комплект; экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~0.6 m2/kpl; SKU płyty RB Rigips"
2.03,Zmniejszenie otworu (GK + wyrównanie) >3cm,kpl,construction,PROFIL_GK,Profil przyścienny UD 27/28 budżetowy (3m),mb,2.00,budget,0,Ramka wzmacniająca >3cm zużywa ~2 mb profilu UD na komplet do stelaża wypełnienia; wartość ekspercka.,Усиливающая рамка >3см расходует ~2 пм профиля UD на комплект для каркаса заполнения; экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~2 mb/kpl; SKU profilu UD Siniat"
2.03,Zmniejszenie otworu (GK + wyrównanie) >3cm,kpl,construction,PROFIL_GK,Profil przyścienny UD 27/28 (3m),mb,2.00,"norm,lux",0,Wariant norm/lux; ramka wzmacniająca zużywa ~2 mb profilu UD Rigips na komplet; wartość ekspercka.,Вариант norm/lux; усиливающая рамка расходует ~2 пм профиля UD Rigips на комплект; экспертное значение.,expert,Praktyka wykonawcza (brak normy Excel/KNR),,"założenie eksperckie ~2 mb/kpl; SKU profilu UD Rigips"
