work_code,work_pl,work_unit,branch,material_type,material_ref,material_unit,norm_qty,packages,waste_pct,justification_pl,justification_ru,source_type,source_doc,source_url,source_ref
9.01,Prace malarskie na wysokości. Zastosowanie rusztowań,szt,construction,TASMA_MALARSKA,Taśma malarska Blue Dolphin 38mm 50m,szt,0.10,"budget,norm,lux",0,"Rusztowanie to praca robocizny (montaz/demontaz), material minimalny; przyjeto ~0.1 szt tasmy malarskiej na komplet do zabezpieczenia krawedzi przy pracy na wysokosci (zalozenie eksperckie).","Строительные леса - это работа (монтаж/демонтаж), материал минимальный; принято ~0.1 шт малярной ленты на комплект для защиты кромок при работе на высоте (экспертное допущение).",expert,Zalozenie eksperckie (rusztowanie = robocizna),,brak lokatora - praca robocizny; minimalna tasma zabezpieczajaca ~0.1 szt/kpl
9.02,Malowanie wałkiem na biało - glify okienne lub wnęki,mb,construction,GRUNT_MALARSKI,Farba gruntująca podkładowa Śnieżka Grunt 5l,l,0.05,budget,0,"Gruntowanie glifu przed malowaniem zuzywa ~0.05 l/mb farby gruntujacej (waski metraz glifu, norma plaska); wg wydajnosci ~10 m2/l.","Грунтование откоса перед покраской расходует ~0.05 л/пм грунтующей краски (узкий метраж откоса, норма плоская); по укрывистости ~10 м2/л.",producer_tds,Śnieżka emulsja gruntująca — Karta techniczna,https://www.sniezka.pl/produkty,"sekcja Wydajnosc (~10 m2/l); przeliczenie na waski glif ~0.05 l/mb"
9.02,Malowanie wałkiem na biało - glify okienne lub wnęki,mb,construction,GRUNT_MALARSKI,Farba gruntująca podkładowa Dekoral Profesjonalny Grunt 5l,l,0.05,"norm,lux",0,Wariant norm/lux; gruntowanie glifu ~0.05 l/mb gruntem Dekoral wg wydajnosci ~10-12 m2/l.,Вариант norm/lux; грунтование откоса ~0.05 л/пм грунтом Dekoral по укрывистости ~10-12 м2/л.,producer_tds,Dekoral grunt akrylowy — Karta techniczna,https://www.dekoral.pl/produkty,"sekcja Wydajnosc (~10-12 m2/l); przeliczenie na waski glif ~0.05 l/mb"
9.02,Malowanie wałkiem na biało - glify okienne lub wnęki,mb,finishing,FARBA_DEKORACYJNA,Farba lateksowa biała Śnieżka Barwy Natury 5l,l,0.10,budget,0,"Malowanie x2 na bialo glifu zuzywa ~0.10 l/mb farby nawierzchniowej (waski metraz, dwie warstwy); ~0.2 l/m2 x2 przeliczone na glif.","Покраска x2 в белый откоса расходует ~0.10 л/пм финишной краски (узкий метраж, два слоя); ~0.2 л/м2 x2 в пересчёте на откос.",producer_tds,Śnieżka farba lateksowa — Karta techniczna,https://www.sniezka.pl/produkty,"sekcja Wydajnosc (~10 m2/l na warstwe); ~0.2 l/m2 x2 -> ~0.10 l/mb glifu"
9.02,Malowanie wałkiem na biało - glify okienne lub wnęki,mb,finishing,FARBA_DEKORACYJNA,Farba lateksowa Dekoral Akrylit W 5l,l,0.09,norm,0,Wariant norm; malowanie x2 glifu ~0.09 l/mb farba Dekoral Akrylit W wg wydajnosci ~11 m2/l na warstwe.,Вариант norm; покраска x2 откоса ~0.09 л/пм краской Dekoral Akrylit W по укрывистости ~11 м2/л на слой.,producer_tds,Dekoral Akrylit W — Karta techniczna,https://www.dekoral.pl/produkty,"sekcja Wydajnosc (~11 m2/l na warstwe)"
9.02,Malowanie wałkiem na biało - glify okienne lub wnęki,mb,finishing,FARBA_DEKORACYJNA,Farba lateksowa premium Tikkurila Optiva 5l,l,0.08,lux,0,Wariant lux; malowanie x2 glifu ~0.08 l/mb farba Tikkurila Optiva o wyzszej wydajnosci ~12 m2/l na warstwe.,Вариант lux; покраска x2 откоса ~0.08 л/пм краской Tikkurila Optiva с большей укрывистостью ~12 м2/л на слой.,producer_tds,Tikkurila Optiva — Karta techniczna,https://www.tikkurila.pl/produkty,"sekcja Wydajnosc (~12 m2/l na warstwe)"
9.03,Malowanie wałkiem na biało - sufity i blendy,m2,construction,GRUNT_MALARSKI,Farba gruntująca podkładowa Śnieżka Grunt 5l,l,0.10,budget,0,Gruntowanie sufitu przed malowaniem zuzywa ~0.10 l/m2 farby gruntujacej wg wydajnosci ~10 m2/l (jedna warstwa podkladowa).,Грунтование потолка перед покраской расходует ~0.10 л/м2 грунтующей краски по укрывистости ~10 м2/л (один подкладочный слой).,producer_tds,Śnieżka emulsja gruntująca — Karta techniczna,https://www.sniezka.pl/produkty,"sekcja Wydajnosc (~10 m2/l na warstwe)"
9.03,Malowanie wałkiem na biało - sufity i blendy,m2,construction,GRUNT_MALARSKI,Farba gruntująca podkładowa Dekoral Profesjonalny Grunt 5l,l,0.10,"norm,lux",0,Wariant norm/lux; gruntowanie sufitu ~0.10 l/m2 gruntem Dekoral wg wydajnosci ~10-12 m2/l.,Вариант norm/lux; грунтование потолка ~0.10 л/м2 грунтом Dekoral по укрывистости ~10-12 м2/л.,producer_tds,Dekoral grunt akrylowy — Karta techniczna,https://www.dekoral.pl/produkty,"sekcja Wydajnosc (~10-12 m2/l na warstwe)"
9.03,Malowanie wałkiem na biało - sufity i blendy,m2,finishing,FARBA_DEKORACYJNA,Farba lateksowa biała Śnieżka Barwy Natury 5l,l,0.20,budget,0,Malowanie x2 na bialo sufitu zuzywa ~0.20 l/m2 farby nawierzchniowej (dwie warstwy); ~0.2 l/m2 wg wydajnosci ~10 m2/l na warstwe.,Покраска x2 в белый потолка расходует ~0.20 л/м2 финишной краски (два слоя); ~0.2 л/м2 по укрывистости ~10 м2/л на слой.,producer_tds,Śnieżka farba lateksowa — Karta techniczna,https://www.sniezka.pl/produkty,"sekcja Wydajnosc (~10 m2/l na warstwe; ~0.22 l/m2 dla x2 wg praktyki)"
9.03,Malowanie wałkiem na biało - sufity i blendy,m2,finishing,FARBA_DEKORACYJNA,Farba lateksowa Dekoral Akrylit W 5l,l,0.18,norm,0,Wariant norm; malowanie x2 sufitu ~0.18 l/m2 farba Dekoral Akrylit W wg wydajnosci ~11 m2/l na warstwe.,Вариант norm; покраска x2 потолка ~0.18 л/м2 краской Dekoral Akrylit W по укрывистости ~11 м2/л на слой.,producer_tds,Dekoral Akrylit W — Karta techniczna,https://www.dekoral.pl/produkty,"sekcja Wydajnosc (~11 m2/l na warstwe)"
