name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Płyta gipsowo-kartonowa Norgips GKB 12.5mm,Гипсокартонный лист Norgips GKB 12.5мм,PLYTA_GK,Norgips,PSB Mrówka,budget,m2,PLN,9.80,15.49,12.59,https://www.norgips.pl/produkty/plyty-gipsowo-kartonowe,"karta produktu Norgips GKB (płyta zwykła 12.5mm, 1200x2600), cena netto ~12.6 PLN/m2","Budżetowa płyta GK zwykła (typ A) 12.5mm, standard rynku PL do ścian działowych i sufitów w suchych pomieszczeniach.","Бюджетный обычный ГК-лист (тип A) 12.5мм, стандарт польского рынка для перегородок и потолков в сухих помещениях."
Płyta gipsowo-kartonowa Rigips RB 12.5mm,Гипсокартонный лист Rigips RB 12.5мм,PLYTA_GK,Rigips,Leroy Merlin,"norm,lux",m2,PLN,10.90,16.99,13.81,https://www.rigips.pl/produkty/plyty,"karta produktu Rigips RB 12.5 (Die Weiße/RB, typ A), cena netto ~13.8 PLN/m2","Płyta GK zwykła Rigips RB 12.5mm typ A wg PN-EN 520, wariant norm/lux o stabilnej jakości krawędzi VARIO do szpachlowania.","Обычный ГК-лист Rigips RB 12.5мм тип A по PN-EN 520, вариант norm/lux со стабильной кромкой VARIO под шпаклёвку."
Płyta gipsowo-kartonowa impregnowana Rigips RBI 12.5mm,Влагостойкий ГК-лист Rigips RBI 12.5мм,PLYTA_GK_IMPREGNOWANA,Rigips,OBI,"norm,lux",m2,PLN,13.50,20.99,17.06,https://www.rigips.pl/produkty/plyty,"karta produktu Rigips RBI 12.5 (płyta impregnowana, typ H2), cena netto ~17 PLN/m2","Płyta GK impregnowana (typ H2, zielona) do pomieszczeń wilgotnych - łazienka, obudowa wanny, stelaż WC; wariant norm/lux.","Влагостойкий ГК-лист (тип H2, зелёный) для влажных помещений - ванная, обшивка ванны, инсталляция WC; вариант norm/lux."
Płyta OSB-3 12mm,Плита OSB-3 12мм,PLYTA_OSB,Kronopol,Castorama,"budget,norm,lux",m2,PLN,22.00,33.99,27.63,https://www.castorama.pl/produkty/budowa/plyty-budowlane/plyty-osb,"katalog Castorama płyta OSB-3 12mm, cena netto ~27.6 PLN/m2","Płyta OSB-3 12mm konstrukcyjna wodoodporna do licowania/przedścianek i podkładów; standard rynku PL.","Плита OSB-3 12мм конструкционная влагостойкая для облицовки/фальшстен и оснований; стандарт польского рынка."
Profil sufitowy CD 60/27 (4m),Профиль потолочный CD 60/27 (4м),PROFIL_GK,Rigips,PSB Mrówka,"budget,norm,lux",mb,PLN,3.10,4.79,3.89,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips CD 60/27 wg PN-EN 14195, cena netto ~3.9 PLN/mb","Profil nośny CD 60/27 ze stali ocynkowanej do rusztu sufitów podwieszanych i okładzin ściennych; standard suchej zabudowy.","Несущий профиль CD 60/27 из оцинкованной стали для каркаса подвесных потолков и облицовок; стандарт сухого строительства."
Profil przyścienny UD 27/28 (3m),Профиль направляющий UD 27/28 (3м),PROFIL_GK,Rigips,PSB Mrówka,"budget,norm,lux",mb,PLN,2.60,3.99,3.24,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips UD 27 wg PN-EN 14195, cena netto ~3.2 PLN/mb","Profil obwodowy UD 27 mocowany do ścian/stropu jako prowadnica profili CD; standard rusztu sufitowego.","Направляющий профиль UD 27, крепится к стенам/перекрытию как прогон для CD; стандарт потолочного каркаса."
Profil ścienny CW 75 (3m),Профиль стоечный CW 75 (3м),PROFIL_GK,Rigips,Leroy Merlin,"norm,lux",mb,PLN,5.20,7.99,6.50,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips CW 75 wg PN-EN 14195, cena netto ~6.5 PLN/mb","Profil słupkowy CW 75 do konstrukcji ścianek działowych GK; wariant norm/lux z szerszą wełną akustyczną.","Стоечный профиль CW 75 для каркаса ГК-перегородок; вариант norm/lux с более широкой акустической ватой."
Profil ścienny UW 75 (3m),Профиль направляющий UW 75 (3м),PROFIL_GK,Rigips,Leroy Merlin,"norm,lux",mb,PLN,4.60,7.09,5.76,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips UW 75 wg PN-EN 14195, cena netto ~5.8 PLN/mb","Profil poziomy UW 75 (dół/góra) prowadzący słupki CW w ściance działowej GK; standard konstrukcji.","Горизонтальный профиль UW 75 (низ/верх), направляющий стойки CW в ГК-перегородке; стандарт конструкции."
Profil przyścienny UD 27/28 budżetowy (3m),Профиль направляющий UD 27/28 бюджетный (3м),PROFIL_GK,Siniat,PSB Mrówka,budget,mb,PLN,2.30,3.59,2.92,https://www.siniat.pl/pl-pl/produkty/profile,"karta profili Siniat UD 27, cena netto ~2.9 PLN/mb","Budżetowy profil obwodowy UD 27 Siniat do prostego rusztu sufitowego i okładzin; tańszy odpowiednik.","Бюджетный направляющий профиль UD 27 Siniat для простого каркаса потолка и облицовок; более дешёвый аналог."
Wkręt do płyt GK 3.5x25mm,Саморез по ГКЛ 3.5x25мм,WKRET_GK,Rigips,PSB Mrówka,budget,szt,PLN,0.03,0.05,0.04,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta wkrętów Rigips do GK 3.5x25 (opak. 1000 szt), cena netto ~0.04 PLN/szt","Wkręt fosforanowany 3.5x25mm do mocowania płyt GK do profili stalowych; podstawowy łącznik suchej zabudowy.","Фосфатированный саморез 3.5x25мм для крепления ГК-листов к стальным профилям; базовый крепёж сухого строительства."
Wkręt do płyt GK 3.5x35mm,Саморез по ГКЛ 3.5x35мм,WKRET_GK,Knauf,Leroy Merlin,"norm,lux",szt,PLN,0.04,0.06,0.05,https://www.knauf.pl/produkty/wkrety-i-akcesoria,"karta wkrętów Knauf do GK 3.5x35 (opak. 1000 szt), cena netto ~0.05 PLN/szt","Wkręt 3.5x35mm do drugiej warstwy płyt GK / grubszych okładzin; wariant norm/lux przy podwójnym płytowaniu.","Саморез 3.5x35мм для второго слоя ГК / более толстых облицовок; вариант norm/lux при двойной обшивке."
Masa szpachlowa do spoin Rigips Vario,Шпаклёвка для швов Rigips Vario,MASA_SPOINOWA,Rigips,PSB Mrówka,budget,kg,PLN,3.10,4.89,3.98,https://www.rigips.pl/produkty/masy-szpachlowe,"karta produktu Rigips Vario (masa do spoin z taśmą), worek 25kg, cena netto ~4 PLN/kg","Gipsowa masa szpachlowa do spoinowania płyt GK z taśmą, zużycie ~0.3-0.5 kg/m2 okładziny; budżetowy standard.","Гипсовая шпаклёвка для заделки швов ГК с лентой, расход ~0.3-0.5 кг/м2 обшивки; бюджетный стандарт."
