name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Farba gruntująca podkładowa Śnieżka Grunt 5l,Грунтующая подкладочная краска Śnieżka Grunt,GRUNT_MALARSKI,Śnieżka,PSB Mrówka,budget,l,PLN,7.30,11.29,9.18,https://www.sniezka.pl/produkty,"karta techniczna Śnieżka emulsja gruntująca, wydajność ~10 m2/l, opak. 5 L, cena netto orientacyjna","Budżetowa farba gruntująca (podkładowa) pod malowanie, wyrównuje chłonność podłoża przed farbą nawierzchniową, wariant budget.","Бюджетная грунтующая (подкладочная) краска под покраску, выравнивает впитываемость основания перед финишной краской, вариант budget."
Farba gruntująca podkładowa Dekoral Profesjonalny Grunt 5l,Грунтующая подкладочная краска Dekoral Profesjonalny,GRUNT_MALARSKI,Dekoral,Leroy Merlin,"norm,lux",l,PLN,8.40,12.99,10.56,https://www.dekoral.pl/produkty,"karta techniczna Dekoral grunt akrylowy, wydajność ~10-12 m2/l, opak. 5 L, cena netto orientacyjna","Akrylowa farba gruntująca Dekoral pod farby lateksowe, poprawia przyczepność i krycie warstwy nawierzchniowej, wariant norm/lux.","Акриловая грунтующая краска Dekoral под латексные краски, улучшает адгезию и укрывистость финишного слоя, вариант norm/lux."
Akryl dekarski/malarski Soudal 300ml,Акрил малярный Soudal,AKRYL,Soudal,Castorama,"budget,norm,lux",l,PLN,7.90,12.29,9.99,https://www.soudal.com/pl-pl/diy/produkty/akryle,"karta produktu Soudal Akryl (kartusz 300 ml = 0.3 l), cena netto za kartusz","Elastyczny akryl malarski do wypełniania narożników, pęknięć i szczelin przed malowaniem, przemalowywalny, kartusz 0.3 l.","Эластичный малярный акрил для заполнения углов, трещин и щелей перед покраской, окрашиваемый, картридж 0.3 л."
Akryl malarski Den Braven 310ml,Акрил малярный Den Braven,AKRYL,Den Braven,OBI,"norm,lux",l,PLN,7.20,11.19,9.10,https://www.denbraven.pl/produkty,"karta produktu Den Braven Akryl (kartusz 310 ml = 0.31 l), cena netto za kartusz","Akryl malarski Den Braven do uszczelniania połączeń i narożników pod malowanie, wariant norm/lux, kartusz ~0.31 l.","Малярный акрил Den Braven для герметизации стыков и углов под покраску, вариант norm/lux, картридж ~0.31 л."
Klej do tapet flizelinowych Metylan 200g,Клей для флизелиновых обоев Metylan,KLEJ_DO_TAPET,Metylan,Leroy Merlin,"budget,norm",kg,PLN,18.00,27.99,22.76,https://www.metylan.pl/produkty,"karta produktu Metylan klej do flizeliny, zużycie ~0.25 kg/m2 gotowej masy, cena netto za opak.","Klej metylocelulozowy do tapet flizelinowych nakładany na ścianę, zużycie ~0.25 kg/m2, wariant budget/norm.","Метилцеллюлозный клей для флизелиновых обоев, наносится на стену, расход ~0.25 кг/м2, вариант budget/norm."
Klej do tapet ciężkich winylowych Metylan Vinyl 300g,Клей для тяжёлых виниловых обоев Metylan Vinyl,KLEJ_DO_TAPET,Metylan,Castorama,"budget,norm,lux",kg,PLN,22.00,33.99,27.63,https://www.metylan.pl/produkty,"karta produktu Metylan klej do tapet winylowych/ciężkich, zużycie ~0.35 kg/m2, cena netto za opak.","Wzmocniony klej do ciężkich tapet winylowych, wyższa siła klejenia i zużycie ~0.35 kg/m2, wariant budget/norm/lux.","Усиленный клей для тяжёлых виниловых обоев, повышенная клеящая способность и расход ~0.35 кг/м2, вариант budget/norm/lux."
Klej montażowy Mamut Glue Soudal 290ml,Монтажный клей Mamut Glue Soudal,KLEJ_MONTAZOWY,Soudal,Leroy Merlin,"budget,norm,lux",kg,PLN,24.00,37.49,30.48,https://www.soudal.com/pl-pl/diy/produkty/kleje-montazowe/mamut-glue,"karta produktu Soudal Mamut Glue (klej hybrydowy SMX, kartusz 290 ml ~0.38 kg), cena netto za kartusz","Hybrydowy klej montażowy 'mamut' o bardzo wysokiej sile początkowej do mocowania lameli i paneli ściennych bez kołków, wariant uniwersalny.","Гибридный монтажный клей 'мамут' с очень высокой начальной силой для крепления ламелей и стеновых панелей без дюбелей, универсальный вариант."
Taśma malarska Blue Dolphin 38mm 50m,Малярная лента Blue Dolphin,TASMA_MALARSKA,Blue Dolphin,Castorama,"budget,norm,lux",szt,PLN,4.30,6.79,5.52,https://www.castorama.pl/s/tasma-malarska,"katalog Castorama taśma malarska 38 mm x 50 m, cena netto za rolkę (liczona jako sztuka)","Papierowa taśma malarska do ochrony krawędzi i oddzielania kolorów przy malowaniu, materiał zużywalny, rolka liczona na sztuki.","Бумажная малярная лента для защиты кромок и разделения цветов при покраске, расходный материал, рулон считается на штуки."
Farba lateksowa biała Śnieżka Barwy Natury 5l,Латексная краска белая Śnieżka Barwy Natury,FARBA_DEKORACYJNA,Śnieżka,PSB Mrówka,budget,l,PLN,9.80,15.19,12.35,https://www.sniezka.pl/produkty,"karta techniczna Śnieżka farba lateksowa, wydajność ~10 m2/l na warstwę, opak. 5 L, cena netto orientacyjna","Budżetowa biała farba lateksowa do ścian i sufitów, wydajność ~10 m2/l, dwie warstwy => ~0.2 l/m2, wariant budget.","Бюджетная белая латексная краска для стен и потолков, укрывистость ~10 м2/л, два слоя => ~0.2 л/м2, вариант budget."
Farba lateksowa Dekoral Akrylit W 5l,Латексная краска Dekoral Akrylit W,FARBA_DEKORACYJNA,Dekoral,Leroy Merlin,norm,l,PLN,12.30,18.99,15.44,https://www.dekoral.pl/produkty,"karta techniczna Dekoral Akrylit W, wydajność ~11 m2/l na warstwę, opak. 5 L, cena netto orientacyjna","Lateksowa farba lateksowa Dekoral o dobrej sile krycia i odporności na szorowanie, wydajność ~11 m2/l, wariant norm.","Латексная краска Dekoral с хорошей укрывистостью и стойкостью к мытью, укрывистость ~11 м2/л, вариант norm."
Farba lateksowa premium Tikkurila Optiva 5l,Латексная краска премиум Tikkurila Optiva,FARBA_DEKORACYJNA,Tikkurila,OBI,lux,l,PLN,22.00,33.99,27.63,https://www.tikkurila.pl/produkty,"karta techniczna Tikkurila Optiva, wydajność ~12 m2/l na warstwę, opak. 5 L, cena netto orientacyjna","Premium matowa farba lateksowa Tikkurila o wysokiej klasie odporności na szorowanie, wydajność ~12 m2/l, wariant lux.","Премиальная матовая латексная краска Tikkurila высокого класса стойкости к мытью, укрывистость ~12 м2/л, вариант lux."
Farba lateksowa kolorowa Magnat Ceramic 5l,Латексная краска цветная Magnat Ceramic,FARBA_DEKORACYJNA_KOLOR,Magnat,Castorama,"norm,lux",l,PLN,15.00,23.19,18.85,https://www.magnat.pl/produkty,"karta techniczna Magnat Ceramic (farba barwiona), wydajność ~10-12 m2/l na warstwę, opak. 5 L, cena netto orientacyjna","Barwiona farba lateksowa Magnat Ceramic o wysokiej odporności na plamy i szorowanie, do malowania w kolorze, wariant norm/lux.","Колерованная латексная краска Magnat Ceramic высокой стойкости к пятнам и мытью, для покраски в цвет, вариант norm/lux."
Farba lateksowa kolorowa Śnieżka Extra Fasada/Wnętrza 5l,Латексная краска цветная Śnieżka,FARBA_DEKORACYJNA_KOLOR,Śnieżka,PSB Mrówka,budget,l,PLN,11.00,17.09,13.89,https://www.sniezka.pl/produkty,"karta techniczna Śnieżka farba barwiona, wydajność ~10 m2/l na warstwę, opak. 5 L, cena netto orientacyjna","Budżetowa barwiona farba lateksowa Śnieżka do malowania ścian i sufitów w kolorze, wydajność ~10 m2/l, wariant budget.","Бюджетная колерованная латексная краска Śnieżka для покраски стен и потолков в цвет, укрывистость ~10 м2/л, вариант budget."
Tynk dekoracyjny Magnat Style Effetto 5kg,Декоративная штукатурка Magnat Style Effetto,TYNK_DEKORACYJNY,Magnat,Leroy Merlin,"budget,norm",m2,PLN,18.00,27.99,22.76,https://www.magnat.pl/produkty,"karta techniczna Magnat Style tynk dekoracyjny, zużycie przeliczone na ~1 m2 pokrytej powierzchni, cena netto na m2","Dekoracyjny tynk/masa efektowa Magnat Style do ścian wewnętrznych, wycena na m2 pokrytej powierzchni, wariant budget/norm.","Декоративная штукатурка/эффектная масса Magnat Style для внутренних стен, расчёт на м2 покрытой поверхности, вариант budget/norm."
