name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Piana montażowa niskorozprężna do drzwi Soudal Doors 750ml,Монтажная пена низкорасширяемая для дверей Soudal Doors 750мл,PIANA_MONTAZOWA,Soudal,PSB Mrówka,budget,szt,PLN,22.00,36.00,29.27,https://sasza.pasaz24.pl/product/PIANKA-PISTOLETOWA-SOUDAL-DOORS-NISKOPREZNA-s9637,"karta produktu Soudafoam Doors 750ml, cena netto 29.27 PLN/puszka","Pistoletowa piana PU niskorozprezna dedykowana do montazu stolarki drzwiowej (drewno/MDF/PVC/stal), 1 puszka na komplet oscieznicy - budzetowy standard PL.","Пистолетная ПУ-пена низкорасширяемая для монтажа дверной столярки (дерево/МДФ/ПВХ/сталь), 1 баллон на комплект коробки - бюджетный стандарт PL."
Piana montażowa niskorozprężna Tytan Professional 750ml,Монтажная пена низкорасширяемая Tytan Professional 750мл,PIANA_MONTAZOWA,Tytan,Castorama,"norm,lux",szt,PLN,24.50,39.90,32.44,https://tytan.com/en/,"katalog Tytan Professional piana pistoletowa niskoprezna 750ml, cena netto orientacyjna","Niskorozprezna piana pistoletowa PU Tytan do montazu oscieznic bez odksztalcania ram, wariant norm/lux, 1 puszka na komplet drzwi.","Низкорасширяемая пистолетная ПУ-пена Tytan для монтажа коробок без деформации рам, вариант norm/lux, 1 баллон на комплект двери."
Klej montażowy hybrydowy Soudal Fix All 290ml,Монтажный клей гибридный Soudal Fix All 290мл,KLEJ_MONTAZOWY,Soudal,Leroy Merlin,"budget,norm,lux",szt,PLN,18.00,29.99,24.38,https://www.soudal.com/nl-be/diy/producten/fix-all/fix-all/fix-all-high-tack,"karta produktu Soudal Fix All (SMX Polymer), cena netto orientacyjna za kartusz 290ml","Elastyczny klej montazowy hybrydowy SMX do mocowania listew/opasek i punktowego klejenia elementow stolarki, 1 kartusz na kilka kompletow.","Эластичный гибридный монтажный клей SMX для крепления наличников и точечной приклейки элементов столярки, 1 картридж на несколько комплектов."
Silikon sanitarny Den Braven 280ml,Силикон санитарный Den Braven 280мл,SILIKON,Den Braven,Castorama,"budget,norm,lux",szt,PLN,11.00,17.99,14.63,https://www.topepoxy.eu/en/acetic-silicones:den-braven/,"karta produktu Den Braven silikon (acetic/sanitary), cena netto orientacyjna za kartusz 280ml","Silikon do uszczelnienia styku szafki/blatu ze sciana i obrobki drzwi, odporny na wilgoc i plesn, 1 kartusz na kilka kompletow.","Силикон для герметизации стыка шкафа/столешницы со стеной и обработки двери, влаго- и плеснестойкий, 1 картридж на несколько комплектов."
Akryl malarski Den Braven 300ml,Акрил малярный Den Braven 300мл,AKRYL,Den Braven,PSB Mrówka,"norm,lux",szt,PLN,7.50,11.99,9.75,https://www.toolteam24.com/en-GB/catalog/den-braven-katalog-chemieprodukte-acryl-silikon-montagekleber-pu-schaum-Page-8-558.html,"katalog Den Braven Universal Acryl, cena netto orientacyjna za kartusz 300ml","Akryl dyspersyjny malarski do wypelnienia szczelin przy obrobce otworu drzwi ukrytych (do malowania), 1 kartusz na kilka kompletow.","Акрил дисперсионный малярный для заполнения щелей при обработке проёма скрытых дверей (под покраску), 1 картридж на несколько комплектов."
Wkręty do ościeżnic / montażowe Wkręt-Met,Саморезы для коробок / монтажные Wkręt-Met,WKRETY,Wkręt-Met,Leroy Merlin,"budget,norm,lux",szt,PLN,0.12,0.20,0.16,https://www.leroymerlin.fr/produits/marques/soudal/soudal-fix-all-p.html,"katalog Wkret-Met wkrety montazowe, cena netto orientacyjna za sztuke (opak. wieloszt.)","Wkret montazowy/do oscieznic (stal ocynk), material zuzywalny do mocowania oscieznic, klamek, szafek; cena za 1 szt z opak. wieloszt.","Саморез монтажный/для коробок (сталь оцинк.), расходный материал для крепления коробок, ручек, шкафов; цена за 1 шт из многошт. упаковки."
Kołek rozporowy ramowy Wkręt-Met,Дюбель рамный распорный Wkręt-Met,KOLKI,Wkręt-Met,PSB Mrówka,"budget,norm,lux",szt,PLN,0.22,0.35,0.28,https://www.leroymerlin.fr/produits/marques/soudal/soudal-fix-all-p.html,"katalog Wkret-Met kolki ramowe, cena netto orientacyjna za sztuke (opak. wieloszt.)","Kolek ramowy z wkretem do mocowania oscieznic/szafek w murze, material zuzywalny; cena za 1 szt z opak. wieloszt.","Рамный дюбель с саморезом для крепления коробок/шкафов в стене, расходный материал; цена за 1 шт из многошт. упаковки."
Kliny montażowe do drzwi (komplet klinów),Клинья монтажные для дверей (клин),KLINY,Wkręt-Met,OBI,"budget,norm,lux",szt,PLN,0.30,0.49,0.40,https://www.leroymerlin.fr/produits/marques/soudal/soudal-fix-all-p.html,"katalog kliny montazowe plastikowe, cena netto orientacyjna za sztuke (opak. wieloszt.)","Klin montazowy do ustawienia i unieruchomienia oscieznicy przed pianowaniem, material zuzywalny; cena za 1 szt.","Монтажный клин для установки и фиксации коробки перед запениванием, расходный материал; цена за 1 шт."
Obrzeże okleiny brzegowej melamina rolka,Кромка меламиновая (кромкование) лист,OBRZEZE,Erbauer,OBI,"budget,norm,lux",szt,PLN,0.90,1.49,1.21,https://www.castorama.pl/s/papier-scierny-125mm?Marka=Erbauer,"katalog obrzeze melaminowe do oklejania krawedzi, cena netto orientacyjna za odcinek na 1 strone skrzydla","Obrzeze melaminowe do oklejenia przycietej krawedzi skrzydla drzwi po docieciu, material zuzywalny; ~1 odcinek na 1 strone.","Меламиновая кромка для оклейки подрезанного края дверного полотна после подгонки, расходный материал; ~1 отрезок на 1 сторону."
Papier ścierny arkusz gr.180,Наждачная бумага лист зерно 180,PAPIER_SCIERNY,Erbauer,Castorama,"budget,norm,lux",szt,PLN,0.65,0.99,0.81,https://www.castorama.pl/s/papier-scierny-125mm?Marka=Erbauer,"katalog Castorama papier scierny Erbauer, cena netto za 1 arkusz (opak. wieloszt.)","Arkusz papieru sciernego gr.180 do wygladzenia przycietej krawedzi skrzydla, material zuzywalny.","Лист наждачной бумаги зерно 180 для зачистки подрезанного края полотна, расходный материал."
