name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Jastrych cementowy Weber floor 4610 25kg,Цементная стяжка Weber floor 4610,JASTRYCH_CEMENTOWY,Weber,PSB Mrówka,budget,kg,PLN,1.05,1.60,1.30,https://www.pl.weber/posadzki-jastrychy-i-produkty-do-renowacji/jastrychy-cementowe,"karta techniczna Weber floor (jastrych cementowy), sekcja Zuzycie ~20 kg/m2 na 10 mm, worek 25 kg","Zaprawa jastrychowa cementowa na posadzki, zuzycie ~20 kg/m2 na kazde 10 mm grubosci wg karty; anchor Excela dla posadzki cementowej.","Цементная стяжечная смесь для полов, расход ~20 кг/м2 на каждые 10 мм толщины по карте; якорь Excel для цементного пола."
Jastrych cementowy Atlas Postar 80 25kg,Цементная стяжка Atlas Postar 80,JASTRYCH_CEMENTOWY,Atlas,Castorama,"norm,lux",kg,PLN,1.15,1.79,1.45,https://www.atlas.com.pl/produkt/postar-80/,"karta produktu Atlas Postar 80 (jastrych cementowy), sekcja Zuzycie ~20 kg/m2 na 10 mm, worek 25 kg","Podkladowy jastrych cementowy do posadzek pod okladziny, zuzycie ~20 kg/m2/10 mm, wariant norm/lux o stabilnej klasie C20.","Цементная подстилающая стяжка под покрытия, расход ~20 кг/м2/10 мм, вариант norm/lux со стабильным классом C20."
Wylewka samopoziomująca Atlas SAM 200 25kg,Самовыравнивающаяся стяжка Atlas SAM 200,WYLEWKA_SAMOPOZIOMUJACA,Atlas,Leroy Merlin,"budget,norm",kg,PLN,1.55,2.39,1.94,https://www.atlas.com.pl/produkt/sam-200/,"karta produktu Atlas SAM 200 (masa samopoziomująca), sekcja Zuzycie ~1.7 kg/m2 na 1 mm, worek 25 kg","Cementowa masa samopoziomujaca do wyrownania podloza, zuzycie ~1.7 kg/m2 na 1 mm; anchor Excela dla wylewki wyrownujacej.","Цементная самовыравнивающаяся масса для выравнивания основания, расход ~1.7 кг/м2 на 1 мм; якорь Excel для выравнивающей стяжки."
Wylewka samopoziomująca Ceresit CN 76 25kg,Самовыравнивающаяся стяжка Ceresit CN 76,WYLEWKA_SAMOPOZIOMUJACA,Ceresit,OBI,lux,kg,PLN,1.85,2.89,2.35,https://www.ceresit.pl/pl/produkty/podlogi/masy-samopoziomujace.html,"karta produktu Ceresit CN 76 (masa samopoziomująca), sekcja Zuzycie ~1.7 kg/m2 na 1 mm, worek 25 kg","Samopoziomujaca masa podlogowa Ceresit o wysokiej gladkosci, wariant lux, zuzycie ~1.7 kg/m2/mm.","Самовыравнивающаяся напольная масса Ceresit высокой гладкости, вариант lux, расход ~1.7 кг/м2/мм."
Grunt podkładowy Ceresit CT 17 (odp.),Грунт-подложка Ceresit CT 17 (аналог),GRUNT_UNIWERSALNY,Ceresit,PSB Mrówka,budget,l,PLN,5.20,7.99,6.50,https://www.ceresit.com/products/interoir-finishing/product.html/ceresit-ct-17/SAP_0201JAC014F1.html,"karta produktu Ceresit CT 17, sekcja Zuzycie ~0.1-0.2 l/m2, cena netto orientacyjna","Grunt glebokopenetrujacy pod wylewki i kleje podlogowe, zuzycie ~0.15 l/m2; anchor Excela grunt CT17 0.15 l.","Грунт глубокого проникновения под стяжки и напольные клеи, расход ~0.15 л/м2; якорь Excel грунт CT17 0.15 л."
Grunt podkładowy Atlas Uni-Grunt,Грунт-подложка Atlas Uni-Grunt,GRUNT_UNIWERSALNY,Atlas,Leroy Merlin,"norm,lux",l,PLN,6.40,9.99,8.12,https://cdn.shopify.com/s/files/1/0916/9050/0443/files/pl_9532_20240506_095608.pdf,"karta techniczna Atlas Uni-Grunt (PDF), sekcja Zuzycie 0.05-0.2 l/m2 na warstwe","Emulsja gruntujaca dyspersyjna pod posadzki, zuzycie ~0.15 l/m2, wariant norm/lux.","Дисперсионная грунтующая эмульсия под полы, расход ~0.15 л/м2, вариант norm/lux."
Papier ścierny do szlifierek arkusz gr.40,Наждачная бумага для шлифмашин лист зерно 40,PAPIER_SCIERNY,Erbauer,Castorama,budget,szt,PLN,0.85,1.29,1.05,https://www.castorama.pl/s/papier-scierny,"katalog Castorama papier scierny gruby (gr.40), cena netto za 1 arkusz","Gruby papier scierny gr.40 do maszynowego zdzierania/obnizenia posadzki, material zuzywalny (nie filler).","Грубая наждачная бумага зерно 40 для машинного съёма/понижения пола, расходный материал (не шпаклёвка)."
Siatka ścierna arkusz gr.80,Абразивная сетка лист зерно 80,PAPIER_SCIERNY,Erbauer,Leroy Merlin,"norm,lux",szt,PLN,0.93,1.45,1.18,https://www.castorama.pl/s/papier-scierny,"katalog LM/Castorama siatka scierna gr.80, cena netto za 1 arkusz","Siatka scierna gr.80 do przygotowania posadzki pod klejenie, material zuzywalny, wariant norm/lux.","Абразивная сетка зерно 80 для подготовки пола под приклеивание, расходный материал, вариант norm/lux."
Klej do winylu Bostik Parkietiaki (Tarbicol) 20kg,Клей для панелей/винила Bostik,KLEJ_DO_PODLOG,Bostik,PSB Mrówka,budget,kg,PLN,7.50,11.49,9.34,https://www.bostik.com/poland/pl/,"karta techniczna Bostik klej do podlog drewnianych/winylu, sekcja Zuzycie ~1.0-1.3 kg/m2","Klej do przyklejania paneli winylowych i deski warstwowej, zuzycie ~1.0-1.3 kg/m2 wg karty; branch construction.","Клей для приклеивания виниловых панелей и многослойной доски, расход ~1.0-1.3 кг/м2 по карте; branch construction."
Klej do winylu Thomsit K 188 E 12kg,Клей для винила Thomsit K 188 E,KLEJ_DO_PODLOG,Thomsit,OBI,norm,kg,PLN,9.20,14.29,11.62,https://www.thomsit.pl/pl/produkty.html,"karta techniczna Thomsit K 188 E (klej dyspersyjny do LVT), sekcja Zuzycie ~0.3-0.5 kg/m2 packa A2","Dyspersyjny klej Thomsit do wykladzin winylowych LVT, zuzycie ~1.1 kg/m2 przy packach zebatych; wariant norm.","Дисперсионный клей Thomsit для виниловых покрытий LVT, расход ~1.1 кг/м2 при зубчатых шпателях; вариант norm."
