name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Folia ochronna malarska HDPE,Защитная малярная плёнка HDPE,FOLIA_OCHRONNA,Technicqll,Castorama,"budget,norm,lux",m2,PLN,0.12,0.22,0.18,https://www.castorama.pl/s/folia-pod-styropian?Marka=Technicqll,"katalog Castorama folia ochronna, cena netto orientacyjna za 1 m2 (rolka wieloszt.)","Cienka folia HDPE do przykrywania okien, drzwi i drog transportu na czas prac; material zabezpieczajacy rozliczany po powierzchni m2.","Тонкая плёнка HDPE для укрытия окон, дверей и путей транспортировки на время работ; защитный материал, учитывается по площади м2."
Tektura falista malarska ochronna,Гофрокартон малярный защитный,TEKTURA_OCHRONNA,Technicqll,PSB Mrówka,"budget,norm,lux",m2,PLN,0.85,1.49,1.21,https://www.castorama.pl/s/folia-pod-styropian?Marka=Technicqll,"katalog PSB/Castorama tektura ochronna, cena netto orientacyjna za 1 m2 arkusza","Tektura falista do zabezpieczenia posadzek i progow drog transportu przed uszkodzeniem, rozliczana po m2 pokrycia.","Гофрокартон для защиты полов и порогов путей транспортировки от повреждений, учитывается по м2 покрытия."
Taśma malarska papierowa 38mm,Малярная лента бумажная 38мм,TASMA_MALARSKA,Blue Dolphin,Castorama,"budget,norm,lux",szt,PLN,3.20,5.49,4.46,https://www.maldrew.com.pl/en/c/tools-and-protective-equipme/painting-articles/19,"katalog artykulow malarskich, cena netto orientacyjna za 1 rolke 38mm (rozliczana jako szt)","Papierowa tasma malarska do mocowania folii i ochrony krawedzi okien/drzwi; jedna rolka liczona jako 1 szt.","Бумажная малярная лента для фиксации плёнки и защиты кромок окон/дверей; одна лента считается как 1 шт."
Taśma tynkarska zewnętrzna 48mm,Штукатурная лента наружная 48мм,TASMA_TYNKARSKA,Blue Dolphin,Castorama,"budget,norm,lux",szt,PLN,4.90,7.99,6.50,https://www.maldrew.com.pl/en/c/tools-and-protective-equipme/painting-articles/19,"katalog artykulow malarskich Blue Dolphin 48mm/50m, cena netto orientacyjna za 1 rolke (rozliczana jako szt)","Odporna tasma tynkarska do zabezpieczenia oscieznic i krawedzi na czas prac mokrych; jedna rolka liczona jako 1 szt.","Стойкая штукатурная лента для защиты откосов и кромок на время мокрых работ; одна лента считается как 1 шт."
Narożnik papierowy ochronny,Уголок картонный защитный,NAROZNIK_OCHRONNY,Technicqll,PSB Mrówka,"budget,norm,lux",szt,PLN,0.55,0.99,0.80,https://www.castorama.pl/s/folia-pod-styropian?Marka=Technicqll,"katalog PSB/Castorama narozniki ochronne, cena netto orientacyjna za 1 szt","Papierowy naroznik ochronny na krawedzie oscieznic i naroza scian na czas prac; liczony w sztukach.","Картонный защитный уголок для кромок откосов и углов стен на время работ; считается в штуках."
Worek na gruz big bag 1m3,Мешок для мусора биг-бэг 1м3,WOREK_NA_GRUZ,Technicqll,Castorama,"budget,norm,lux",szt,PLN,6.50,11.99,9.75,https://www.castorama.pl/s/folia-pod-styropian?Marka=Technicqll,"katalog Castorama worki big bag na gruz 1m3, cena netto orientacyjna za 1 szt","Polipropylenowy worek big bag do gromadzenia i wynoszenia gruzu po pracach rozbiorkowych; liczony w sztukach.","Полипропиленовый биг-бэг для сбора и выноса строительного мусора после демонтажа; считается в штуках."
Tarcza diamentowa do cięcia 125mm,Диск алмазный отрезной 125мм,TARCZA_TNACA,Profi,Castorama,budget,szt,PLN,9.80,17.99,14.63,https://pro-budowa.pl/produkt/tarcza-diamentowa-do-ciecia-gresu-plytek-125-mm/,"karta produktu tarcza diamentowa 125mm, cena netto orientacyjna za 1 szt","Tarcza diamentowa 125mm do ciecia plytek, gresu i muru przy rozbiorkach; material zuzywalny liczony w sztukach.","Алмазный диск 125мм для резки плитки, керамогранита и кладки при демонтаже; расходный материал, считается в штуках."
Tarcza diamentowa segmentowa 125mm,Диск алмазный сегментный 125мм,TARCZA_TNACA,Rubi,Leroy Merlin,"norm,lux",szt,PLN,22.00,39.99,32.51,https://www.dobrenarzedzia.pl/tarcze-do-szlifierek/tarcza-diamentowa-rubi-tvr-125mm-superpro/,"karta produktu Rubi TVR 125mm, cena netto orientacyjna za 1 szt","Wytrzymala tarcza diamentowa Rubi 125mm do ciecia twardych materialow mineralnych, wariant norm/lux o dluzszej zywotnosci.","Прочный алмазный диск Rubi 125мм для резки твёрдых минеральных материалов, вариант norm/lux с большим ресурсом."
Zaprawa murarska Atlas M-10 25kg,Кладочный раствор Atlas M-10,ZAPRAWA_MURARSKA,Atlas,PSB Mrówka,"budget,norm,lux",kg,PLN,0.55,0.89,0.72,https://www.atlas.com.pl/wp-content/uploads/2026/08/62bb80692ad76d2f493e0beecb20f760543ee718_pl_9735_20240507_153354.pdf,"karta techniczna Atlas Zaprawa Murarska M-10 (PDF), worek 25 kg, cena netto orientacyjna","Fabrycznie przygotowana sucha zaprawa murarska kategorii M5/M-10 do murowania i uzupelnien ubytkow po rozbiorce; rozliczana po kg.","Заводская сухая кладочная смесь категории M5/M-10 для кладки и заделки после демонтажа; учитывается по кг."
Zaprawa wyrównująco-naprawcza Atlas ZW 330 25kg,Ремонтно-выравнивающий раствор Atlas ZW 330,ZAPRAWA_NAPRAWCZA,Atlas,Leroy Merlin,"budget,norm,lux",kg,PLN,1.10,1.79,1.46,https://www.atlas.com.pl/de/produkt/atlas-zw-330/,"karta produktu Atlas ZW 330 (zaprawa reperacyjno-wyrownujaca 3-30mm), worek 25 kg, cena netto orientacyjna","Cementowa zaprawa naprawczo-wyrownujaca 3-30mm do reperacji posadzek, stropow i scian po pracach wyburzeniowych/bruzdowaniu; rozliczana po kg.","Цементный ремонтно-выравнивающий раствор 3-30мм для заделки полов, перекрытий и стен после демонтажа/штробления; учитывается по кг."
